Version,Filename,LOC_added,MAX_LOC_added,AVG_LOC_addded,Churn,MAX_Churn,AVG_Churn,ChgSetSize,MAX_ChgSetSize,AVG_ChgSetSize,Buggy
1,hedwig-server/src/main/java/org/apache/hedwig/server/common/ByteStringInterner.java,0,0,0,0,0,0,0,0,0,No
1,hedwig-server/src/main/java/org/apache/hedwig/server/common/ServerConfiguration.java,12,8,6.0,10,8,5.0,4,4,2.0,Yes
1,hedwig-server/src/main/java/org/apache/hedwig/server/common/TerminateJVMExceptionHandler.java,1,1,1.0,0,0,0.0,33,33,33.0,Yes
1,hedwig-server/src/main/java/org/apache/hedwig/server/common/TopicOpQueuer.java,0,0,0,0,0,0,0,0,0,No
1,hedwig-server/src/main/java/org/apache/hedwig/server/common/UnexpectedError.java,0,0,0,0,0,0,0,0,0,No
1,hedwig-server/src/main/java/org/apache/hedwig/server/delivery/ChannelEndPoint.java,4,4,4.0,4,4,4.0,33,33,33.0,Yes
1,hedwig-server/src/main/java/org/apache/hedwig/server/delivery/DeliveryCallback.java,0,0,0,0,0,0,0,0,0,No
1,hedwig-server/src/main/java/org/apache/hedwig/server/delivery/DeliveryEndPoint.java,0,0,0,0,0,0,0,0,0,No
1,hedwig-server/src/main/java/org/apache/hedwig/server/delivery/DeliveryManager.java,7,5,3.5,7,5,3.5,44,33,22.0,Yes
1,hedwig-server/src/main/java/org/apache/hedwig/server/delivery/FIFODeliveryManager.java,11,8,5.5,8,5,4.0,48,33,24.0,Yes
1,hedwig-server/src/main/java/org/apache/hedwig/server/handlers/BaseHandler.java,3,3,3.0,3,3,3.0,15,15,15.0,No
1,hedwig-server/src/main/java/org/apache/hedwig/server/handlers/ChannelDisconnectListener.java,0,0,0,0,0,0,0,0,0,No
1,hedwig-server/src/main/java/org/apache/hedwig/server/handlers/ConsumeHandler.java,8,8,8.0,8,8,8.0,15,15,15.0,No
1,hedwig-server/src/main/java/org/apache/hedwig/server/handlers/Handler.java,0,0,0,0,0,0,0,0,0,No
1,hedwig-server/src/main/java/org/apache/hedwig/server/handlers/NettyHandlerBean.java,52,51,26.0,51,51,25.5,48,33,24.0,Yes
1,hedwig-server/src/main/java/org/apache/hedwig/server/handlers/NettyHandlerMXBean.java,31,31,31.0,31,31,31.0,15,15,15.0,No
1,hedwig-server/src/main/java/org/apache/hedwig/server/handlers/PublishHandler.java,9,9,9.0,9,9,9.0,15,15,15.0,Yes
1,hedwig-server/src/main/java/org/apache/hedwig/server/handlers/SubscribeHandler.java,14,14,14.0,14,14,14.0,15,15,15.0,Yes
1,hedwig-server/src/main/java/org/apache/hedwig/server/handlers/UnsubscribeHandler.java,10,10,10.0,9,9,9.0,15,15,15.0,Yes
1,hedwig-server/src/main/java/org/apache/hedwig/server/jmx/HedwigJMXService.java,37,37,37.0,37,37,37.0,3,3,3.0,No
1,hedwig-server/src/main/java/org/apache/hedwig/server/jmx/HedwigMBeanInfo.java,27,27,27.0,27,27,27.0,3,3,3.0,No
1,hedwig-server/src/main/java/org/apache/hedwig/server/jmx/HedwigMBeanRegistry.java,48,48,48.0,48,48,48.0,3,3,3.0,No
1,hedwig-server/src/main/java/org/apache/hedwig/server/netty/PubSubServer.java,78,53,26.000002,51,53,17.0,59,33,19.666668,Yes
1,hedwig-server/src/main/java/org/apache/hedwig/server/netty/PubSubServerBean.java,77,77,77.0,77,77,77.0,15,15,15.0,No
